Country,TotalCases,TotalDeaths,TotalRecovered,"Serious,Critical"
USA,"1,837,170","106,195","599,867","17,075"
Brazil,"514,849","29,314","206,555","8,318"
Russia,"405,843","4,693","171,883","2,300"
Spain,"286,509","27,127","196,958",617
UK,"274,762","38,489",N/A,"1,559"
Italy,"232,997","33,415","157,507",435
India,"190,609","5,408","91,852","8,944"
France,"188,882","28,802","68,355","1,319"
Germany,"183,494","8,605","165,200",702
Peru,"164,476","4,506","67,208",988
Turkey,"163,942","4,540","127,973",648
Iran,"151,466","7,797","118,848","2,527"
Chile,"99,688","1,054","42,727","1,383"
Canada,"90,947","7,295","48,879","1,641"
