age,Cases,Death,发病数,发病数,发病数,发病数,发病数,Death,死亡数,死亡数,死亡数,死亡数
0,1765,25,882,24,134,340,385,17,6,1,0,1
1,1991,23,850,48,171,467,455,18,2,2,1,0
2,2538,18,1317,42,207,429,543,9,7,0,0,2
3,3367,20,1971,68,239,533,556,11,4,3,1,1
4,3286,13,2141,73,217,393,462,10,2,0,0,1
5,3775,8,2736,68,193,323,455,7,1,0,0,0
6,4605,5,3669,64,163,286,423,4,0,0,0,1
7,5617,9,4733,63,141,185,495,8,1,0,0,0
8,6153,7,5440,47,122,151,393,5,2,0,0,0
9,6850,9,6220,18,108,131,373,7,2,0,0,0
10,41883,25,39098,171,483,573,1558,21,1,3,0,0
15,45151,51,42948,90,679,672,762,44,3,4,0,0
20,17632,122,14545,49,1284,1127,627,94,21,5,1,1
25,10193,100,6910,68,1160,1210,845,72,16,10,0,2
30,4810,59,3127,47,489,576,571,40,12,3,0,4
35,3814,66,2713,26,305,429,341,45,11,8,0,2
40,2869,77,1941,22,208,367,331,52,12,7,0,6
45,2303,53,1523,19,199,298,264,33,7,9,0,4
50,2276,39,1505,15,224,273,259,28,7,2,0,2
55,1998,62,1287,21,155,260,275,38,8,11,0,5
60,1101,34,625,14,95,152,215,24,6,0,0,4
65,593,28,383,8,41,70,91,20,5,2,0,1
70,552,27,382,3,50,49,68,22,3,2,0,0
75,389,23,249,3,31,45,61,16,3,2,0,2
80,161,10,101,0,22,16,22,5,4,1,0,0
85,61,3,41,1,3,5,11,2,1,0,0,0
