DATE,CASES,Daily Cases,Deaths
  Feb 15  ,9,null,0
  Feb 16  ,9,0,0
  Feb 17  ,9,0,0
  Feb 18  ,9,0,0
  Feb 19  ,9,0,0
  Feb 20  ,9,0,0
  Feb 21  ,9,0,0
  Feb 22  ,9,0,0
  Feb 23  ,13,4,0
  Feb 24  ,13,0,0
  Feb 25  ,13,0,0
  Feb 26  ,13,0,0
  Feb 27  ,16,3,0
  Feb 28  ,20,4,0
  Feb 29  ,23,3,0
  Mar 01  ,36,13,0
  Mar 02  ,39,3,0
  Mar 03  ,51,12,0
  Mar 04  ,87,36,0
  Mar 05  ,116,29,1
  Mar 06  ,164,48,1
  Mar 07  ,209,45,1
  Mar 08  ,278,69,2
  Mar 09  ,321,43,3
  Mar 10  ,383,62,7
  Mar 11  ,460,77,7
  Mar 12  ,590,130,9
  Mar 13  ,798,208,10
  Mar 14  ,1140,342,28
  Mar 15  ,1391,251,43
  Mar 16  ,1543,152,65
  Mar 17  ,1950,407,81
  Mar 18  ,2626,676,115
  Mar 19  ,3269,643,158
  Mar 20  ,3983,714,194
  Mar 21  ,5018,1035,250
  Mar 22  ,5683,665,285
  Mar 23  ,6650,967,359
  Mar 24  ,8077,1427,508
  Mar 25  ,9529,1452,694
  Mar 26  ,11658,2129,877
  Mar 27  ,14543,2885,1161
  Mar 28  ,17089,2546,1455
  Mar 29  ,19522,2433,1669
  Mar 30  ,22141,2619,2043
  Mar 31  ,25150,3009,2425
  Apr 01  ,29474,4324,3095
  Apr 02  ,33718,4244,3747
  Apr 03  ,38168,4450,4461
  Apr 04  ,41903,3735,5221
  Apr 05  ,47806,5903,5865
  Apr 06  ,51608,3802,6433
  Apr 07  ,55242,3634,7471
  Apr 08  ,60733,5491,8505
  Apr 09  ,65077,4344,9608
  Apr 10  ,73758,8681,10760
  Apr 11  ,78991,5233,11599
  Apr 12  ,84279,5288,12285
  Apr 13  ,88621,4342,13029
  Apr 14  ,93873,5252,14073
  Apr 15  ,98476,4603,14915
  Apr 16  ,103093,4617,15944
  Apr 17  ,108692,5599,16879
  Apr 18  ,114217,5525,17994
  Apr 19  ,120067,5850,18492
  Apr 20  ,124743,4676,19051
  Apr 21  ,129044,4301,20223
  Apr 22  ,133495,4451,21060
  Apr 23  ,138078,4583,21787
  Apr 24  ,143464,5386,22792
  Apr 25  ,148377,4913,23635
  Apr 26  ,152840,4463,24055
  Apr 27  ,157149,4309,24393
  Apr 28  ,161145,3996,25302
  Apr 29  ,165221,4076,26097
  Apr 30  ,171253,6032,26771
  May 01  ,177454,6201,27510
  May 02  ,182260,4806,28131
  May 03  ,186599,4339,28446
  May 04  ,190584,3985,28734
  May 05  ,194990,4406,29427
  May 06  ,201101,6111,30076
  May 07  ,206715,5614,30615
  May 08  ,211364,4649,31241
  May 09  ,215260,3896,31587
  May 10  ,219183,3923,31855
  May 11  ,223060,3877,32065
  May 12  ,226463,3403,32692
  May 13  ,229705,3242,33186
  May 14  ,233151,3446,33614
  May 15  ,236711,3560,33998
  May 16  ,240161,3450,34466
  May 17  ,243695,3534,34636
  May 18  ,246406,2711,34796
  May 19  ,248818,2412,35341
  May 20  ,250332,1514,35704
  May 21  ,252947,2615,36042
  May 22  ,256234,3287,36393
  May 23  ,259193,2959,36675
  May 24  ,261598,2405,36793
  May 25  ,263223,1625,36914
  May 26  ,265227,2004,37048
  May 27  ,267240,2013,37460
  May 28  ,269127,1887,37837
  May 29  ,271222,2095,38161
  May 30  ,272826,1604,38376
  May 31  ,274762,1936,38489
